breed,url,popularity,hypoallergenic,intelligence_rating,puppy_price,lifespan
Kuvasz,https://www.dogbreedslist.info//all-dog-breeds/kuvasz.html,#177,No,42,Prices: $1500 - $2500,Lifespan: 10-12 years
Komondor,https://www.dogbreedslist.info//all-dog-breeds/komondor.html,#178,No,-,Prices: $800 - $1500,Lifespan: 10-12 years
Cirneco dell’Etna,https://www.dogbreedslist.info//all-dog-breeds/cirneco-dell-etna.html,#179,No,-,Prices: $900 - $1500,Lifespan: 12-15 years
Pharaoh Hound,https://www.dogbreedslist.info//all-dog-breeds/pharaoh-hound.html,#180,No,37,Prices: $1800 - $2500,Lifespan: 12-14 years
Dandie Dinmont Terrier,https://www.dogbreedslist.info//all-dog-breeds/dandie-dinmont-terrier.html,#181,Yes,62,Prices: $1500 - $3000,Lifespan: 12-14 years
Pyrenean Shepherd,https://www.dogbreedslist.info//all-dog-breeds/pyrenean-shepherd.html,#182,No,-,Prices: $800 - $1200,Lifespan: 15-17 years
Skye Terrier,https://www.dogbreedslist.info//all-dog-breeds/skye-terrier.html,#183,No,55,Prices: $1500 - $2000,Lifespan: 12-14 years
Canaan Dog,https://www.dogbreedslist.info//all-dog-breeds/canaan-dog.html,#184,No,-,Prices: $1500 - $2000,Lifespan: 12-14 years
American English Coonhound,https://www.dogbreedslist.info//all-dog-breeds/english-coonhound.html,#185,No,-,Prices: $800 - $1200,Lifespan: 10-12 years
Chinook,https://www.dogbreedslist.info//all-dog-breeds/chinook-dog.html,#186,No,-,Prices: $800 - $1200,Lifespan: 12-15 years
Finnish Spitz,https://www.dogbreedslist.info//all-dog-breeds/finnish-spitz.html,#187,No,43,Prices: $1000 - $2000,Lifespan: 12-15 years
Grand Basset Griffon Vendeen,https://www.dogbreedslist.info//all-dog-breeds/grand-basset-griffon-vendeen.html,#188,No,-,Prices: $1200 - $1500,Lifespan: 12-15 years
Sloughi,https://www.dogbreedslist.info//all-dog-breeds/sloughi.html,#189,No,-,Prices: $1500 - $2000,Lifespan: 12-15 years
Harrier,https://www.dogbreedslist.info//all-dog-breeds/harrier-dog.html,#190,No,-,Prices: $1500 - $2500,Lifespan: 10-12 years
Cesky Terrier,https://www.dogbreedslist.info//all-dog-breeds/cesky-terrier.html,#191,Yes,-,Prices: $1200 - $2500,Lifespan: 12-15 years
American Foxhound,https://www.dogbreedslist.info//all-dog-breeds/american-foxhound.html,#192,No,46,Prices: $500 - $700,Lifespan: 10-12 years
Azawakh,https://www.dogbreedslist.info//all-dog-breeds/azawakh.html,#193,No,-,Prices: $2000 - $2500,Lifespan: 10-12 years
English Foxhound,https://www.dogbreedslist.info//all-dog-breeds/english-foxhound.html,#194,No,46,Prices: $600 - $800,Lifespan: 10-13 years
Norwegian Lundehund,https://www.dogbreedslist.info//all-dog-breeds/norwegian-lundehund.html,#195,No,-,Prices: $2000 - $3000,Lifespan: 10-12 years
American Pit Bull Terrier,https://www.dogbreedslist.info//all-dog-breeds/american-pit-bull-terrier.html,-,No,-,Prices: $500 - $1000,Lifespan: 10-14 years
American White Shepherd,https://www.dogbreedslist.info//all-dog-breeds/american-white-shepherd.html,-,-,-,Prices: $1000 - $1500,Lifespan: 12-14 years
Cockapoo,https://www.dogbreedslist.info//all-dog-breeds/cockapoo.html,-,No,-,Prices: $1000 - $2000,Lifespan: 14-18 years
Goldendoodle,https://www.dogbreedslist.info//all-dog-breeds/goldendoodle.html,-,No,-,Prices: $1000 - $2500,Lifespan: 10-15 years
Japanese Spitz,https://www.dogbreedslist.info//all-dog-breeds/japanese-spitz.html,-,No,-,Prices: $1000 - $2500,Lifespan: 10-16 years
Miniature Bulldog,https://www.dogbreedslist.info//all-dog-breeds/toy-bulldog.html,-,No,-,Prices: $1500 - $4500,Lifespan: 9-12 years
